OBJECTID,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,SHAPE_Length,SHAPE_Area
110,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{16733086-AEBB-4DEF-B95D-A3C1994B1C49},115,LINC,Lands - http://landsnet.nps.gov/tractsnet/documents/LINC/Metadata/linc_metadata.xml,Lincoln Memorial,2011/11/04 00:00:00+00,DC,NC,531835,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181132,Lincoln,785.315592479955,48757.2810943358
111,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{7A77F318-F3F5-4A82-9689-7A13E37A16C2},116,WAMO,Lands - http://landsnet.nps.gov/tractsnet/documents/WAMO/Metadata/wamo_metadata.xml,Washington Monument,2009/11/06 00:00:00+00,DC,NC,531850,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1049241,Washington Monument,4277.12051706059,698443.193524915
112,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{36AC4627-62DE-4C51-9F8F-A1C7B1CAB6B3},117,KOWA,Lands - http://landsnet.nps.gov/tractsnet/documents/KOWA/Metadata/kowa_metadata.xml,Korean War Veterans Memorial,2011/11/03 00:00:00+00,DC,NC,1985525,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181130,Korean War Veterans,511.950673057315,10418.4064382231
113,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{E66DFD8F-60E1-40E7-BAE4-517A9BEFCA15},118,PISC,Lands - http://landsnet.nps.gov/tractsnet/documents/PISC/Metadata/pisc_metadata.xml,Piscataway Park,2021/03/03 00:00:00+00,MD,NC,1676813,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048186,Piscataway,42735.9772401694,30633450.4623375
114,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{5B0A17BB-9C62-4D0E-BE73-11A72FCDA84D},119,FRDO,Lands - http://landsnet.nps.gov/tractsnet/documents/FRDO/Metadata/frdo_metadata.xml,Frederick Douglass National Historic Site,2017/03/21 00:00:00+00,DC,NC,2733423,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048159,Frederick Douglass,1101.375343924,56143.0644750561
115,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{DAE5FA16-12FD-4998-A981-3522B83CAAD4},120,CAWO,Lands - http://landsnet.nps.gov/tractsnet/documents/CAWO/Metadata/cawo_metadata.xml,Carter G. Woodson Home National Historic Site,2006/03/22 00:00:00+00,DC,NC,2085144,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048147,Carter G. Woodson Home,155.437005455564,1273.03456046263
116,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{5352C8AA-D69B-4D7A-B9AD-87C6AD7954A6},121,MONO,Lands - http://landsnet.nps.gov/tractsnet/documents/MONO/Metadata/mono_metadata.xml,Monocacy National Battlefield,2023/12/18 00:00:00+00,MD,NC,588388,National Battlefield,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048181,Monocacy,24375.3432812581,10995173.2050775
117,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{7C0E24C1-7B9A-4592-91D6-EAF1D098094E},122,PRWI,Lands - http://landsnet.nps.gov/tractsnet/documents/PRWI/Metadata/prwi_metadata.xml,Prince William Forest Park,2023/12/18 00:00:00+00,VA,NC,1472799,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2221823,Prince William Forest,49822.7250865836,92507002.2339856
118,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{CA9D510D-5D5C-4FD5-9682-73A2AF3FD30D},123,VIVE,Lands - http://landsnet.nps.gov/tractsnet/documents/VIVE/Metadata/vive_metadata.xml,Vietnam Veterans Memorial,2011/11/03 00:00:00+00,DC,NC,531832,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181139,Vietnam Veterans,519.101130017737,14616.5408185834
119,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{5FBB8E99-6AE6-4B5E-B64F-1234150D4D79},124,COGA,Lands - http://landsnet.nps.gov/tractsnet/documents/COGA/Metadata/coga_metadata.xml,Constitution Gardens,2011/11/03 00:00:00+00,DC,NC,530610,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181119,Constitution Gardens,3334.102039324,285615.662214097
120,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{8D4FABA7-710F-4B2B-8EEA-5D033A1E6754},125,WOTR,Lands - http://landsnet.nps.gov/tractsnet/documents/WOTR/Metadata/wotr_metadata.xml,Wolf Trap National Park for the Performing Arts,2023/06/16 15:20:06+00,VA,NC,1888974,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048198,Wolf Trap NP for the Performing Arts,5957.31343415194,897748.516930684
121,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{CEBBFFD4-FFAC-401A-B8E8-E3F8D2E03111},126,WHHO,Lands - http://landsnet.nps.gov/tractsnet/documents/WHHO/Metadata/whho_metadata.xml,White House,2010/05/28 00:00:00+00,DC,NC,2733430,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165312,President's Park (White House),1366.08911051861,122787.858958878
122,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{1A4BF95E-5C4B-4E4A-8F35-C06735674E2E},127,FLNI,Lands - http://landsnet.nps.gov/tractsnet/documents/FLNI/Metadata/flni_metadata.xml,Flight 93 National Memorial,2013/02/05 00:00:00+00,PA,NE,1986830,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2194468,Flight 93,23713.442823534,15660815.1736491
123,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{F595DF3C-15BD-4105-B885-534017046C8E},128,ALPO,Lands - http://landsnet.nps.gov/tractsnet/documents/ALPO/Metadata/alpo_metadata.xml,Allegheny Portage Railroad National Historic Site,2024/01/04 00:00:00+00,PA,NE,1214216,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215968,Allegheny Portage Railroad,56798.5872256107,8773063.83479305
124,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{9C606C27-101A-4742-AEA0-F3F678A2EB8F},129,FONE,Lands - http://landsnet.nps.gov/tractsnet/documents/FONE/Metadata/fone_metadata.xml,Fort Necessity National Battlefield,2013/09/24 00:00:00+00,PA,NE,1193713,National Battlefield,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2208012,Fort Necessity,18001.8090682772,6290267.14521876
125,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{BA4365EE-1853-4592-AD7C-32ECDEB07830},130,JOFL,Lands - http://landsnet.nps.gov/tractsnet/documents/JOFL/Metadata/jofl_metadata.xml,Johnstown Flood National Memorial,2012/08/28 00:00:00+00,PA,NE,1200751,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188827,Johnstown Flood,8381.7616321385,1253202.75636038
126,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{1CF1891A-5332-4F10-9579-94B70D82848A},132,APPA,Lands - http://landsnet.nps.gov/tractsnet/documents/APPA/Metadata/appa_metadata.xml,Appalachian National Scenic Trail,2022/12/08 14:41:43+00,CT,NE,2766084,National Scenic Trail,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2259619,Appalachian,8998542.69040675,2228012427.78698
127,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{612277A5-4E39-4388-8258-AB8FE7CBCC38},133,APCO,Lands - http://landsnet.nps.gov/tractsnet/documents/APCO/Metadata/apco_metadata.xml,Appomattox Court House National Historical Park,2010/10/07 00:00:00+00,VA,NE,1462531,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2166449,Appomattox Court House,29122.1640124448,11419907.2026341
128,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{58678C10-1F6D-47E1-AFC9-3FDA9C0D38D1},134,ASIS,Lands - http://landsnet.nps.gov/tractsnet/documents/ASIS/Metadata/asis_metadata.xml,Assateague Island National Seashore,2024/03/08 00:00:00+00,MD,NE,589056,National Seashore,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2301702,Assateague Island,176076.527932276,318765250.711567
129,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{8D0FC63D-4390-4AA9-B4EC-4FAC4BFD6D92},135,BLUE,Unofficial Boundary of Bluestone National Scenic River.,Bluestone National Scenic River,2013/12/18 00:00:00+00,WV,NE,1877617,National Wild & Scenic River,Region,Preliminary data. Contact the Land Resources Program for additional information.,Bluestone,59931.2267594926,27851054.6496024
130,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{24CD0FB1-5CC2-4862-B522-79CD3262092E},136,BOWA,Lands - http://landsnet.nps.gov/tractsnet/documents/BOWA/Metadata/bowa_metadata.xml,Booker T. Washington National Monument,2010/06/07 00:00:00+00,VA,NE,1477005,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165302,Booker T Washington,8349.6150556682,1555430.52509112
131,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{AC3B1E73-405F-45EA-8915-AB673D227198},137,CEBE,Lands - http://landsnet.nps.gov/tractsnet/documents/CEBE/Metadata/cebe_metadata.xml,Cedar Creek and Belle Grove National Historical Park,2005/04/07 00:00:00+00,VA,NE,1985663,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048148,Cedar Creek & Belle Grove,53250.8577560236,23282831.5586945
132,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{E8ED56D8-01A4-477F-8FD7-39699FF53CF9},138,COLO,Lands - http://landsnet.nps.gov/tractsnet/documents/COLO/Metadata/colo_metadata.xml,Colonial National Historical Park,2019/06/30 00:00:00+00,VA,NE,1478412,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2264898,Colonial,215325.713982903,54414975.3394868
133,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{D7275CA7-0C89-4987-8928-518D1A5E8B82},140,DEWA,Unofficial Boundary of Delaware Water Gap National Recreation Area.,Delaware Water Gap National Recreation Area,2018/05/25 00:00:00+00,NJ,NE,1193711,National Recreation Area,Region,Preliminary data. Contact the Land Resources Program for additional information.,Delaware Water Gap,623859.804656396,492233830.729154
134,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{549C76CE-3DA9-4655-A95B-9F780613E00D},141,EDAL,Lands - http://landsnet.nps.gov/tractsnet/documents/EDAL/Metadata/edal_metadata.xml,Edgar Allan Poe National Historic Site,2009/03/17 00:00:00+00,PA,NE,1888911,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048151,Edgar Allan Poe,281.411364839078,3603.23285465261
135,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{5D1FDB99-DC87-4CF5-B7E5-13A7AB86A748},142,DELA,Unofficial Boundary of Middle Delaware National Scenic River.,Middle Delaware National Scenic River,2018/10/17 00:00:00+00,NJ,NE,need,National Wild & Scenic River,Region,Preliminary data. Contact the Land Resources Program for additional information.,Delaware,242145.033779745,19974061.1456986
136,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{DCE5C421-445D-459C-AF21-5CBE2D54B4AF},143,FOMC,Lands - http://landsnet.nps.gov/tractsnet/documents/FOMC/Metadata/fomc_metadata.xml,Fort McHenry National Monument and Historic Shrine,2012/01/13 00:00:00+00,MD,NE,595218,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2210703,Fort McHenry,2454.0100465059,315838.462612742
137,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{9A831915-5EF0-4DD4-B7FE-2B58694EF168},144,GARI,Lands - https://landsnet.nps.gov/tractsnet/documents/GARI/Metadata/GARI_metadata.xml,Gauley River National Recreation Area,2022/12/31 11:02:15+00,WV,NE,1741168,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2300376,Gauley River,137751.950260492,72806850.2925274
138,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{1A450C3B-EBE2-41F8-B36B-C02F8D3C787C},145,HAMP,Lands - http://landsnet.nps.gov/tractsnet/documents/HAMP/Metadata/hamp_metadata.xml,Hampton National Historic Site,2016/01/26 00:00:00+00,MD,NE,584846,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2182232,Hampton,3921.10206911979,421003.348808857
139,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{4E2F1B13-281D-4CEB-BCD0-7B60744B97D0},146,FRHI,Lands - http://landsnet.nps.gov/tractsnet/documents/FRHI/Metadata/frhi_metadata.xml,Friendship Hill National Historic Site,2011/04/14 00:00:00+00,PA,NE,1888922,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171831,Friendship Hill,13931.3122923731,4631731.29511197
140,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{CD9A86E2-8B0D-4DCB-BFB4-AE31536C1FF8},147,FRSP,Lands - http://landsnet.nps.gov/tractsnet/documents/FRSP/Metadata/frsp_metadata.xml,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,2016/09/30 00:00:00+00,VA,NE,1488838,National Military Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2235461,Fredericksburg & Spotsylvania,200634.441784437,60945548.8554761
141,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{E5F0BB00-4944-409B-A659-B8AA767ACF32},148,GEWA,Lands - http://landsnet.nps.gov/tractsnet/documents/GEWA/Metadata/gewa_metadata.xml,George Washington Birthplace National Monument,2023/09/18 16:12:52+00,VA,NE,1467038,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2229064,George Washington Birthplace,11997.3163899377,4323538.55853271
142,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{D4C36819-F880-4FDD-B161-7EC4C6F1CFB2},150,GETT,Lands - http://landsnet.nps.gov/tractsnet/documents/GETT/Metadata/gett_metadata.xml,Gettysburg National Military Park,2023/12/12 00:00:00+00,PA,NE,1175577,National Military Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2220221,Gettysburg,95111.2685688285,41659009.1222049
143,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{34F2E811-8394-455F-9AAD-5ADE262ED9DA},151,EISE,Lands - http://landsnet.nps.gov/tractsnet/documents/EISE/Metadata/eise_metadata.xml,Eisenhower National Historic Site,2013/07/08 00:00:00+00,PA,NE,1888912,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2196717,Eisenhower,14050.0967774955,4756910.21021601
144,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{B1781F3B-50C8-4D9F-8C27-B5AC2245DC4D},152,HOFU,Lands - http://landsnet.nps.gov/tractsnet/documents/HOFU/Metadata/hofu_metadata.xml,Hopewell Furnace National Historic Site,2011/08/17 00:00:00+00,PA,NE,1193717,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180623,Hopewell Furnace,14014.7606840805,5895031.21869099
145,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{9311C091-AB61-4804-9A8D-0145C94FEE40},153,INDE,Lands - http://landsnet.nps.gov/tractsnet/documents/INDE/Metadata/inde_metadata.xml,Independence National Historical Park,2017/11/09 00:00:00+00,PA,NE,1177725,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2249521,Independence,9431.15344436659,298507.430296412
146,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{7E449307-34FE-43D3-911A-845FE70F2E31},154,THKO,Lands - http://landsnet.nps.gov/tractsnet/documents/THKO/Metadata/thko_metadata.xml,Thaddeus Kosciuszko National Memorial,2010/07/07 00:00:00+00,PA,NE,1888966,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165600,Thaddeus Kosciuszko,56.145369764688,192.984366419395
147,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{A3556263-E5C7-426F-A0C9-EAD9BE5D867E},157,PETE,Lands - http://landsnet.nps.gov/tractsnet/documents/PETE/Metadata/pete_metadata.xml,Petersburg National Battlefield,2024/03/11 00:00:00+00,VA,NE,1498529,National Battlefield,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2169676,Petersburg,194650.931426795,59819010.5051547
148,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{D50546E8-518A-43BA-AFB3-A74683D98606},158,NERI,Unofficial Boundary of New River Gorge National Park and Preserve.,New River Gorge National Park and Preserve,2013/12/18 00:00:00+00,WV,NE,1877618,National Preserve,Region,Preliminary data. Contact the Land Resources Program for additional information.,New River Gorge,377213.330069842,466875555.135612
149,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{9CC7823F-5AB3-45D5-9008-0A3B0FF3E20B},159,MAWA,Lands - http://landsnet.nps.gov/tractsnet/documents/MAWA/Metadata/mawa_metadata.xml,Maggie L. Walker National Historic Site,2011/11/30 00:00:00+00,VA,NE,1780716,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2182230,Maggie L. Walker,549.226648819634,8394.59463249322
150,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{56DABBFF-57F2-4F8F-9C31-D6D594CB93F2},160,RICH,Lands - http://landsnet.nps.gov/tractsnet/documents/RICH/Metadata/rich_metadata.xml,Richmond National Battlefield Park,2021/03/23 00:00:00+00,VA,NE,1473199,National Battlefield Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2223252,Richmond,176089.056619241,52827864.864075
151,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{15BDE2A8-6970-4775-8973-90E3764A1570},161,SHEN,Lands - http://landsnet.nps.gov/tractsnet/documents/SHEN/Metadata/shen_metadata.xml,Shenandoah National Park,2023/12/13 00:00:00+00,VA,NE,1488805,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2301770,Shenandoah,785453.404555309,1306980787.88683
152,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{2D800499-BFC0-44DE-A811-EB250D0F387F},162,THST,Lands - http://landsnet.nps.gov/tractsnet/documents/THST/Metadata/thst_metadata.xml,Thomas Stone National Historic Site,2009/07/28 00:00:00+00,MD,NE,1888967,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048411,Thomas Stone,6334.90145039861,2172355.73670394
153,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{1044F2F4-57D4-407C-8559-125E66AEAEF6},163,STEA,Unofficial Boundary of Steamtown National Historic Site.,Steamtown National Historic Site,2013/12/18 00:00:00+00,PA,NE,1877509,National Historic Site,Region,Preliminary data. Contact the Land Resources Program for additional information.,Steamtown,6727.05326727798,436571.810507908
154,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{AB194A6C-EEE3-459A-85F0-F179A79C8364},164,UPDE,Lands - http://landsnet.nps.gov/tractsnet/documents/UPDE/Metadata/upde_metadata.xml,Upper Delaware Scenic and Recreational River,2015/12/22 00:00:00+00,NY,NE,1888970,National Wild & Scenic River,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225706,Upper Delaware,315325.408056817,414752036.525248
155,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{95769F8B-A22C-4811-9086-A84C5255C192},165,VAFO,Lands - http://landsnet.nps.gov/tractsnet/documents/VAFO/Metadata/vafo_metadata.xml,Valley Forge National Historical Park,2018/05/14 00:00:00+00,PA,NE,1211947,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048195,Valley Forge,30664.0038071212,23893035.3623897
156,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{42921282-1DB0-424E-9343-98078D0FF7D9},166,BICY,Lands - http://landsnet.nps.gov/tractsnet/documents/BICY/Metadata/bicy_metadata.xml,Big Cypress National Preserve,2019/09/26 00:00:00+00,FL,SE,302659,National Preserve,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2266795,Big Cypress,296738.814678046,3659385199.23811
157,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{D68E4B40-3C41-448A-A9EA-A4622B79E79D},167,TUIN,Lands - http://landsnet.nps.gov/tractsnet/documents/TUIN/Metadata/tuin_metadata.xml,Tuskegee Institute National Historic Site,2016/01/14 00:00:00+00,AL,SE,158362,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2229067,Tuskegee Institute,3809.87502910983,352543.762141412
158,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{15A9275D-AF22-4324-B983-60346AB64EF2},168,CANA,Lands - http://landsnet.nps.gov/tractsnet/documents/CANA/Metadata/cana_metadata.xml,Canaveral National Seashore,2008/07/30 00:00:00+00,FL,SE,307730,National Seashore,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048145,Canaveral,112604.043801554,309112930.215887
159,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{03EA863C-E227-4547-9E48-8423B9E2C82D},169,CHAT,Lands - http://landsnet.nps.gov/tractsnet/documents/CHAT/Metadata/chat_metadata.xml,Chattahoochee River National Recreation Area,2021/03/09 00:00:00+00,GA,SE,1688073,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2275647,Chattahoochee River,326394.16277702,70122898.9470472
160,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{BDC16329-A855-4213-BF86-F1E08601217E},172,ANDE,Lands - http://landsnet.nps.gov/tractsnet/documents/ANDE/Metadata/ande_metadata.xml,Andersonville National Historic Site,2014/08/19 00:00:00+00,GA,SE,310534,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215967,Andersonville,8539.02952846378,2953276.75173458
161,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{218A4BBD-1F7C-4289-AF60-FC78F6501602},173,BISO,Unofficial Boundary of Big South Fork National River and Recreation Area.,Big South Fork National River and Recreation Area,2013/12/18 00:00:00+00,KY,SE,1309762,National River,Region,Preliminary data. Contact the Land Resources Program for additional information.,Big South Fork,349536.181850992,769133448.132872
162,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{19D7DDD6-9161-460A-9234-0DB85C4CF66F},174,BLRI,Lands - http://landsnet.nps.gov/tractsnet/documents/BLRI/Metadata/blri_metadata.xml,Blue Ridge Parkway,2023/12/14 00:00:00+00,NC,SE,1009494,Parkway,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2285011,Blue Ridge Parkway,2284674.34027069,642199529.448435
163,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{DBD9673C-CE06-466E-98CA-063B8F6DCCFC},175,CARL,Lands - http://landsnet.nps.gov/tractsnet/documents/CARL/Metadata/carl_metadata.xml,Carl Sandburg Home National Historic Site,2020/09/30 00:00:00+00,NC,SE,1006677,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047923,Carl Sandburg Home,7152.26939446046,1640145.72621361
164,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{05670C59-ECC7-481F-ADD3-328DD572D947},176,GUCO,Lands - http://landsnet.nps.gov/tractsnet/documents/GUCO/Metadata/guco_metadata.xml,Guilford Courthouse National Military Park,2020/09/23 00:00:00+00,NC,SE,986193,National Military Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2223245,Guilford Courthouse,10228.1720277846,1410140.44394289
165,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{6D2590CE-E1A1-464D-A851-2EF2E184F287},177,FORA,Lands - http://landsnet.nps.gov/tractsnet/documents/FORA/Metadata/fora_metadata.xml,Fort Raleigh National Historic Site,2020/09/17 00:00:00+00,NC,SE,985324,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2278882,Fort Raleigh,16133.8780463312,3066605.1891603
166,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{3A50A474-6126-4D2B-A75D-272AB45364F9},178,WRBR,Lands - http://landsnet.nps.gov/tractsnet/documents/WRBR/Metadata/wrbr_metadata.xml,Wright Brothers National Memorial,2011/05/23 00:00:00+00,NC,SE,1027483,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2174269,Wright Brothers,9434.39037362165,2657056.42692279
167,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{7DC7627A-F09F-4756-AEA8-02FE848C2FBA},179,CAHA,Unofficial Boundary of Cape Hatteras National Seashore.,Cape Hatteras National Seashore,2013/12/18 00:00:00+00,NC,SE,982628,National Seashore,Region,Preliminary data. Contact the Land Resources Program for additional information.,Cape Hatteras,345532.782894274,190369152.606466
